"","countyID","countyName","year","yrsSince2009","Median","pop18_24","BA18_24Count","pop25plus","BA25plusCount","totPop18plus","BAtotPop18plus","BApctTotPop18plus"
"61","48061","Cameron County",2013,4,"95100",44604,1561.14,239079,28450.401,283683,30011.541,10.5792525459756
"62","48061","Cameron County",2014,5,"94300",44658,1964.952,242912,29878.176,287570,31843.128,11.0731745314184
"63","48061","Cameron County",2015,6,"97100",45139,1143,244947,26828,290086,27971,9.64231296925739
"64","48061","Cameron County",2016,7,"97200",45231,1391,245943,29531,291174,30922,10.6197668747896
"65","48085","Collin County",2009,0,"199900",58600,7266.4,511232,161549.312,569832,168815.712,29.6255233121341
"66","48085","Collin County",2010,1,"201700",57240,6811.56,505017,162110.457,562257,168922.017,30.0435596177549
"67","48085","Collin County",2011,2,"204700",59351,7537.577,522936,172568.88,582287,180106.457,30.930873778738
"68","48085","Collin County",2012,3,"206700",63683,8469.839,539187,172000.653,602870,180470.492,29.9352251729229
"69","48085","Collin County",2013,4,"207900",67643,10281.736,551215,176388.8,618858,186670.536,30.1637105765782
"70","48085","Collin County",2014,5,"213300",70707,10464.636,574165,180861.975,644872,191326.611,29.6689282524284
"71","48085","Collin County",2015,6,"225500",73704,11960,594392,194066,668096,206026,30.8377837915509
"72","48085","Collin County",2016,7,"243300",75782,13459,613358,204921,689140,218380,31.6887715123197
"73","48091","Comal County",2009,0,"181700",8432,573.376,78638,16985.808,87070,17559.184,20.1667439990812
"74","48091","Comal County",2010,1,"203100",8025,433.35,75588,16100.244,83613,16533.594,19.7739514190377
"75","48091","Comal County",2011,2,"209000",7993,479.58,77760,18118.08,85753,18597.66,21.6874744906884
"76","48091","Comal County",2012,3,"211000",8544,657.888,79827,17402.286,88371,18060.174,20.4367654547306
"77","48091","Comal County",2013,4,"215500",9875,819.625,81462,19958.19,91337,20777.815,22.7485192200313
"78","48091","Comal County",2014,5,"221900",10115,708.05,84547,17585.776,94662,18293.826,19.3254167458959
"79","48091","Comal County",2015,6,"227000",10057,1077,88878,19627,98935,20704,20.9268711780462
"80","48091","Comal County",2016,7,"239500",12048,1539,92508,22721,104556,24260,23.2028769271969
"81","48099","Coryell County",2009,0,"97800",14350,43.05,41412,4099.788,55762,4142.838,7.42950037660055
"82","48099","Coryell County",2010,1,"98900",10038,150.57,44667,4645.368,54705,4795.938,8.76690978886756
"83","48099","Coryell County",2011,2,"104000",10860,369.24,44592,4325.424,55452,4694.664,8.46617615234798
"84","48099","Coryell County",2012,3,"107000",9946,69.622,46687,4762.074,56633,4831.696,8.53159112178412
"85","48099","Coryell County",2013,4,"104600",10415,322.865,46926,5631.12,57341,5953.985,10.3834690709963
"86","48099","Coryell County",2014,5,"107000",10628,31.884,46175,4894.55,56803,4926.434,8.67284122317483
"87","48099","Coryell County",2015,6,"113400",10125,559,47019,4335,57144,4894,8.56432871342573
"88","48099","Coryell County",2016,7,"113900",9468,148,47572,5397,57040,5545,9.72124824684432
"89","48113","Dallas County",2009,0,"135300",238244,18821.276,1523281,272667.299,1761525,291488.575,16.547512808504
"90","48113","Dallas County",2010,1,"136500",237223,20163.955,1483930,274527.05,1721153,294691.005,17.1217204397285
"91","48113","Dallas County",2011,2,"136400",238622,21953.224,1510234,277883.056,1748856,299836.28,17.1447094557814
"92","48113","Dallas County",2012,3,"136500",242428,22545.804,1540997,282002.451,1783425,304548.255,17.0765944741158
"93","48113","Dallas County",2013,4,"136600",243933,20490.372,1564783,292614.421,1808716,313104.793,17.3108875578034
"94","48113","Dallas County",2014,5,"138300",247224,26205.744,1594829,296638.194,1842053,322843.938,17.5263110236242
"95","48113","Dallas County",2015,6,"142700",248936,25285,1621965,311771,1870901,337056,18.0157047326395
"96","48113","Dallas County",2016,7,"148500",249071,29792,1638570,319411,1887641,349203,18.4994392471874
"97","48121","Denton County",2009,0,"174400",61745,5742.285,417005,110923.33,478750,116665.615,24.3687968668407
"98","48121","Denton County",2010,1,"183200",70224,8778,413361,112434.192,483585,121212.192,25.0653332919756
"99","48121","Denton County",2011,2,"185200",70644,6216.672,428607,123438.816,499251,129655.488,25.9700006609902
"100","48121","Denton County",2012,3,"187000",71098,7180.898,445716,126137.628,516814,133318.526,25.7962295913036
"101","48121","Denton County",2013,4,"189000",71457,7788.813,464097,127626.675,535554,135415.488,25.2851230688222
"102","48121","Denton County",2014,5,"194300",72982,8538.894,483844,137411.696,556826,145950.59,26.2111665044376
"103","48121","Denton County",2015,6,"204700",74024,7779,504944,144255,578968,152034,26.2594823893549
"104","48121","Denton County",2016,7,"219200",76329,7110,524239,160702,600568,167812,27.9422147034141
"105","48135","Ector County",2009,0,"80100",15028,420.784,79064,7511.08,94092,7931.864,8.42990264847171
"106","48135","Ector County",2010,1,"89700",15421,956.102,81793,7688.542,97214,8644.644,8.89238587034789
"107","48135","Ector County",2011,2,"98000",15319,582.122,83773,7958.435,99092,8540.557,8.61881584789892
"108","48135","Ector County",2012,3,"102900",15945,701.58,87016,8092.488,102961,8794.068,8.54116413010752
"109","48135","Ector County",2013,4,"108600",16573,1342.413,88581,8680.938,105154,10023.351,9.5320682047283
"110","48135","Ector County",2014,5,"116900",16718,986.362,91697,10820.246,108415,11806.608,10.8901978508509
"111","48135","Ector County",2015,6,"123700",17891,1116,93777,11324,111668,12440,11.1401654905613
"112","48135","Ector County",2016,7,"141700",16648,708,93324,10646,109972,11354,10.3244462226749
"113","48139","Ellis County",2009,0,"143600",13797,620.865,94035,10437.885,107832,11058.75,10.2555363899399
"114","48139","Ellis County",2010,1,"145900",13547,270.94,93394,15876.98,106941,16147.92,15.099840098746
"115","48139","Ellis County",2011,2,"147000",13845,387.66,95360,11633.92,109205,12021.58,11.0082688521588
"116","48139","Ellis County",2012,3,"150100",13143,538.863,97722,14756.022,110865,15294.885,13.7959545393046
"117","48139","Ellis County",2013,4,"148200",14535,741.285,98700,16088.1,113235,16829.385,14.8623526294874
"118","48139","Ellis County",2014,5,"150000",14123,1016.856,102101,13783.635,116224,14800.491,12.7344532970815
"119","48139","Ellis County",2015,6,"156500",14864,960,104676,17163,119540,18123,15.1606156934917
"120","48139","Ellis County",2016,7,"161600",15774,1022,107633,16249,123407,17271,13.9951542457073
"121","48141","El Paso County",2009,0,"106700",81304,3902.592,433636,58540.86,514940,62443.452,12.1263549151357
"122","48141","El Paso County",2010,1,"114500",89803,4220.741,473056,61497.28,562859,65718.021,11.6757520089401
"123","48141","El Paso County",2011,2,"119400",94476,5479.608,482451,66578.238,576927,72057.846,12.4899417083964
"124","48141","El Paso County",2012,3,"121800",96490,5403.44,488529,69859.647,585019,75263.087,12.8650671174782
"125","48141","El Paso County",2013,4,"122500",98297,5111.444,490295,70602.48,588592,75713.924,12.8635666132058
"126","48141","El Paso County",2014,5,"123800",99100,5351.4,498805,71827.92,597905,77179.32,12.908291450983
"127","48141","El Paso County",2015,6,"124900",96703,4198,505803,82007,602506,86205,14.3077413336963
"128","48141","El Paso County",2016,7,"126000",95052,4926,510580,75062,605632,79988,13.2073602451654
"129","48157","Fort Bend County",2009,0,"172900",49499,4504.409,344809,87926.295,394308,92430.704,23.4412449151425
"130","48157","Fort Bend County",2010,1,"174700",46465,3670.735,368808,89620.344,415273,93291.079,22.4649998916376
"131","48157","Fort Bend County",2011,2,"180200",48725,4677.6,381974,102751.006,430699,107428.606,24.9428501110985
"132","48157","Fort Bend County",2012,3,"184600",52151,4850.043,397174,110811.546,449325,115661.589,25.7411871140043
"133","48157","Fort Bend County",2013,4,"189500",55035,5063.22,412271,119970.861,467306,125034.081,26.7563611423778
"134","48157","Fort Bend County",2014,5,"194000",58285,5187.365,435597,120660.369,493882,125847.734,25.4813364325892
"135","48157","Fort Bend County",2015,6,"205100",61030,4796,456580,125884,517610,130680,25.2468074418964
"136","48157","Fort Bend County",2016,7,"222400",61383,8830,474935,133335,536318,142165,26.507594374979
"137","48167","Galveston County",2009,0,"147600",25049,1978.871,187312,32217.664,212361,34196.535,16.1030203285914
"138","48167","Galveston County",2010,1,"156500",24479,2447.9,193739,35454.237,218218,37902.137,17.3689324437031
"139","48167","Galveston County",2011,2,"159700",26265,1864.815,194587,38528.226,220852,40393.041,18.2896423849456
"140","48167","Galveston County",2012,3,"161800",26719,2137.52,198883,36395.589,225602,38533.109,17.0801273924877
"141","48167","Galveston County",2013,4,"162200",28253,3192.589,201797,38543.227,230050,41735.816,18.1420630297761
"142","48167","Galveston County",2014,5,"165300",29128,1864.192,207466,37343.88,236594,39208.072,16.5718792530664
"143","48167","Galveston County",2015,6,"170600",28675,3829,214205,44112,242880,47941,19.7385540184453
"144","48167","Galveston County",2016,7,"176300",28844,2655,219771,40174,248615,42829,17.227037789353
"145","48181","Grayson County",2009,0,"105200",10592,614.336,79992,11038.896,90584,11653.232,12.8645588624923
"146","48181","Grayson County",2010,1,"110000",10971,263.304,80847,11561.121,91818,11824.425,12.8781121348755
"147","48181","Grayson County",2011,2,"113400",11012,660.72,81462,11649.066,92474,12309.786,13.3116184008478
"148","48181","Grayson County",2012,3,"112300",11703,304.278,81542,9866.582,93245,10170.86,10.9076733336908
"149","48181","Grayson County",2013,4,"115000",10999,923.916,82575,8835.525,93574,9759.441,10.4296503302199
"150","48181","Grayson County",2014,5,"116700",10509,189.162,83506,12609.406,94015,12798.568,13.6133255331596
"151","48181","Grayson County",2015,6,"118500",11263,202,84286,10822,95549,11024,11.5375357146595
"152","48181","Grayson County",2016,7,"121400",10976,609,86626,12911,97602,13520,13.8521751603451
"153","48183","Gregg County",2009,0,"114000",13683,1245.153,73588,11332.552,87271,12577.705,14.4122388880613
"154","48183","Gregg County",2010,1,"121000",14081,1422.181,76913,9152.647,90994,10574.828,11.62145635976
"155","48183","Gregg County",2011,2,"125700",13203,1161.864,78258,11347.41,91461,12509.274,13.6771673172172
"156","48183","Gregg County",2012,3,"127700",13324,586.256,78220,9777.5,91544,10363.756,11.3210652800839
"157","48183","Gregg County",2013,4,"135900",12782,818.048,78287,9237.866,91069,10055.914,11.0420823770987
"158","48183","Gregg County",2014,5,"137400",13255,556.71,77979,11618.871,91234,12175.581,13.3454424885459
"159","48183","Gregg County",2015,6,"136200",12215,1425,79819,11969,92034,13394,14.5533172523198
"160","48183","Gregg County",2016,7,"137700",12058,528,79826,11122,91884,11650,12.679030081407
"161","48187","Guadalupe County",2009,0,"149500",11184,324.336,78014,12170.184,89198,12494.52,14.0076234893159
"162","48187","Guadalupe County",2010,1,"156000",11238,1067.61,84580,13279.06,95818,14346.67,14.9728339142959
"163","48187","Guadalupe County",2011,2,"161200",11016,958.392,87872,15026.112,98888,15984.504,16.1642504651727
"164","48187","Guadalupe County",2012,3,"165400",12470,399.04,90125,15681.75,102595,16080.79,15.6740484429066
"165","48187","Guadalupe County",2013,4,"167000",13167,882.189,91997,14995.511,105164,15877.7,15.0980373511848
"166","48187","Guadalupe County",2014,5,"169400",13575,841.65,95390,16979.42,108965,17821.07,16.3548570641949
"167","48187","Guadalupe County",2015,6,"175500",13372,575,98463,16076,111835,16651,14.8888988241606
"168","48187","Guadalupe County",2016,7,"181700",14309,1273,100974,18087,115283,19360,16.7934561036753
"169","48201","Harris County",2009,0,"137400",389455,35829.86,2506674,446187.972,2896129,482017.832,16.6435207823961
"170","48201","Harris County",2010,1,"138800",415736,35753.296,2543972,457914.96,2959708,493668.256,16.6796270442895
"171","48201","Harris County",2011,2,"139300",418914,30999.636,2596222,477704.848,3015136,508704.484,16.8716928191631
"172","48201","Harris County",2012,3,"139500",427959,37232.433,2653312,488209.408,3081271,525441.841,17.0527629994246
"173","48201","Harris County",2013,4,"139200",431459,39262.769,2717715,521801.28,3149174,561064.049,17.8162289222507
"174","48201","Harris County",2014,5,"141600",437091,38026.917,2799047,529019.883,3236138,567046.8,17.5223306299051
"175","48201","Harris County",2015,6,"146200",441976,43836,2871639,546131,3313615,589967,17.804331523125
"176","48201","Harris County",2016,7,"154500",437962,42469,2912844,582905,3350806,625374,18.6633902410345
"177","48203","Harrison County",2010,1,"114500",7704,107.856,41100,4562.1,48804,4669.956,9.56879763953774
"178","48203","Harrison County",2011,2,"130400",6556,308.132,42500,7182.5,49056,7490.632,15.2695531637312
"179","48203","Harrison County",2012,3,"135900",6546,392.76,43694,4631.564,50240,5024.324,10.0006449044586
"180","48203","Harrison County",2013,4,"133300",7458,305.778,42532,5911.948,49990,6217.726,12.4379395879176
"181","48203","Harrison County",2014,5,"141200",7038,0,43522,6484.778,50560,6484.778,12.8259058544304
"182","48203","Harrison County",2015,6,"143200",6290,402,43546,5320,49836,5722,11.4816598442893
"183","48203","Harrison County",2016,7,"136300",6175,369,43374,5148,49549,5517,11.1344325818886
"184","48209","Hays County",2009,0,"167600",31787,2733.682,85510,19752.81,117297,22486.492,19.1705602018807
"185","48209","Hays County",2010,1,"179300",28908,1907.928,90788,23968.032,119696,25875.96,21.6180657666087
"186","48209","Hays County",2011,2,"181200",29232,1695.456,94770,23029.11,124002,24724.566,19.9388445347656
"187","48209","Hays County",2012,3,"177900",29920,1555.84,98103,26978.325,128023,28534.165,22.2883114752818
"188","48209","Hays County",2013,4,"181400",31173,4426.566,102586,24620.64,133759,29047.206,21.7160759276011
"189","48209","Hays County",2014,5,"181400",33066,3141.27,108510,25933.89,141576,29075.16,20.5367858959146
"190","48209","Hays County",2015,6,"185400",33856,2049,115764,28180,149620,30229,20.2038497527069
"191","48209","Hays County",2016,7,"198500",35898,2442,121051,25945,156949,28387,18.0867670389744
"192","48213","Henderson County",2009,0,"95600",5587,22.348,55034,4732.924,60621,4755.272,7.844265188631
"193","48213","Henderson County",2010,1,"105400",6073,0,54843,5155.242,60916,5155.242,8.46287018188982
"194","48213","Henderson County",2011,2,"105200",6719,403.14,54377,5709.585,61096,6112.725,10.0051149011392
"195","48213","Henderson County",2012,3,"110200",6582,26.328,54797,4548.151,61379,4574.479,7.45284054807019
"196","48213","Henderson County",2013,4,"106700",6888,192.864,54366,5871.528,61254,6064.392,9.9004016064257
"197","48213","Henderson County",2014,5,"102500",5689,45.512,56168,7526.512,61857,7572.024,12.2411756147243
